treatment_id,ae_term,ae_group,treated,observed,percent,observed_severe,percent_severe
afinersen,No AE,No AE,1,0,0.0,0,0.0
aganirsen,Conjectival hyperemia,Ocular,178,1,0.5618,0,0.0
aganirsen,Eye Pruritus,Ocular,178,6,3.3708,0,0.0
aganirsen,Flu-like,General,178,1,0.5618,0,0.0
aganirsen,Headache,Neurologic,178,1,0.5618,0,0.0
aganirsen,Hordeolum,Ocular,178,2,1.1236,0,0.0
aganirsen,Increased Intraocular Pressure,Ocular,178,2,1.1236,0,0.0
aganirsen,Keratitis,Ocular,178,2,1.1236,0,0.0
aganirsen,Musculoskeletal disorser,Musculoskeletal,178,1,0.5618,0,0.0
aganirsen,corneal degeneration,Ocular,178,1,0.5618,1,0.5618
alg-020572,Drug-Induced Liver Injury,Cardiovascular,32,2,6.25,2,6.25
alg-020572,Nausea And Vomiting,Gastrointestinal,32,0,0.0,0,0.0
alg-020572,Transaminase Increase,Gastrointestinal,32,6,18.75,0,0.0
alicaforsen-isis-2302,Angioedema,Inflammatory,982,1,0.1018,1,0.1018
alicaforsen-isis-2302,C3/4 Increased,Inflammatory,982,0,0.0,0,0.0
alicaforsen-isis-2302,Chills,General,982,76,7.7393,0,0.0
alicaforsen-isis-2302,Coagulation abnormalities,Musculoskeletal,982,0,0.0,0,0.0
alicaforsen-isis-2302,Dizziness,Neurologic,982,20,2.0367,0,0.0
alicaforsen-isis-2302,Dyspepsia,Gastrointestinal,982,2,0.2037,0,0.0
alicaforsen-isis-2302,Fatigue,General,982,120,12.22,0,0.0
alicaforsen-isis-2302,Fever,General,982,125,12.7291,0,0.0
alicaforsen-isis-2302,Flu-like,General,982,4,0.4073,0,0.0
alicaforsen-isis-2302,GI symptoms,Gastrointestinal,982,56,5.7026,0,0.0
alicaforsen-isis-2302,Headache,Neurologic,982,108,10.998,0,0.0
alicaforsen-isis-2302,Injection site reaction,Procedure related,982,17,1.7312,0,0.0
alicaforsen-isis-2302,Lymphoma,Other,982,1,0.1018,1,0.1018
alicaforsen-isis-2302,Nausea And Vomiting,Gastrointestinal,982,77,7.8411,1,0.1018
alicaforsen-isis-2302,Pain,General,982,4,0.4073,0,0.0
alicaforsen-isis-2302,Pre Existing Condition Exacerbation,Other,982,15,1.5275,15,1.5275
alicaforsen-isis-2302,Rash,Mucocutaneous,982,33,3.3605,0,0.0
alicaforsen-isis-2302,Thrombocytopenia,Hematologic,982,3,0.3055,0,0.0
alicaforsen-isis-2302,Upper Respiratory Tract Infection or symptoms,Respiratory,982,2,0.2037,0,0.0
apatorsen-ogx-427,Alopecia,Mucocutaneous,500,27,5.4,0,0.0
apatorsen-ogx-427,Anaphylaxis,Inflammatory,500,5,1.0,5,1.0
apatorsen-ogx-427,Anemia,Hematologic,500,355,71.0,66,13.2
apatorsen-ogx-427,Angina Pectoris,Cardiovascular,500,5,1.0,0,0.0
apatorsen-ogx-427,Anorexia,General,500,132,26.4,0,0.0
apatorsen-ogx-427,Arrhythmias,Cardiovascular,500,1,0.2,1,0.2
apatorsen-ogx-427,Cerebral hemorrhage,Neurologic,500,2,0.4,2,0.4
apatorsen-ogx-427,Chills,General,500,22,4.4,0,0.0
apatorsen-ogx-427,Chronic Inflammatory Demyelinating Polyradiculoneuropathy,Neurologic,500,1,0.2,1,0.2
apatorsen-ogx-427,Coagulation abnormalities,Hematologic,500,2,0.4,0,0.0
apatorsen-ogx-427,Constipation,Gastrointestinal,500,131,26.2,0,0.0
apatorsen-ogx-427,Deep Vein Thrombosis,Cardiovascular,500,3,0.6,0,0.0
apatorsen-ogx-427,Dehydration,Other,500,5,1.0,0,0.0
apatorsen-ogx-427,Diarrhoea,Gastrointestinal,500,186,37.2,0,0.0
apatorsen-ogx-427,Dizziness,Neurologic,500,14,2.8,0,0.0
apatorsen-ogx-427,Dry Mouth,Mucocutaneous,500,1,0.2,0,0.0
apatorsen-ogx-427,Edema,General,500,71,14.2,0,0.0
apatorsen-ogx-427,Fall,Neurologic,500,5,1.0,0,0.0
apatorsen-ogx-427,Fatigue,General,500,199,39.8,0,0.0
apatorsen-ogx-427,Fever,General,500,118,23.6,0,0.0
apatorsen-ogx-427,Flu-like,General,500,3,0.6,0,0.0
apatorsen-ogx-427,GI symptoms,Gastrointestinal,500,29,5.8,0,0.0
apatorsen-ogx-427,Gastroesophageal Reflux Disease,Gastrointestinal,500,1,0.2,0,0.0
apatorsen-ogx-427,Glomerulonephritis,Renal,500,1,0.2,1,0.2
apatorsen-ogx-427,Headache,Neurologic,500,20,4.0,0,0.0
apatorsen-ogx-427,Hematuria,Genitourinary,500,45,9.0,4,0.8
apatorsen-ogx-427,Hemolytic Uremic Syndrome,Hematologic,500,1,0.2,1,0.2
apatorsen-ogx-427,Hyperbilirubinemia,Gastrointestinal,500,18,3.6,3,0.6
apatorsen-ogx-427,Hypercalcemia,Metabolic,500,35,7.0,0,0.0
apatorsen-ogx-427,Hyperglycemia,Metabolic,500,24,4.8,5,1.0
apatorsen-ogx-427,Hyperhidrosis,General,500,3,0.6,0,0.0
apatorsen-ogx-427,Hyperkalemia,Metabolic,500,3,0.6,0,0.0
apatorsen-ogx-427,Hypermagnesemia,Metabolic,500,13,2.6,0,0.0
apatorsen-ogx-427,Hypernatremia,Metabolic,500,3,0.6,0,0.0
apatorsen-ogx-427,Hypertension,Cardiovascular,500,66,13.2,0,0.0
apatorsen-ogx-427,Hypoalbuminemia,Metabolic,500,80,16.0,4,0.8
apatorsen-ogx-427,Hypoglycemia,Metabolic,500,5,1.0,0,0.0
apatorsen-ogx-427,Hypokalemia,Metabolic,500,81,16.2,21,4.2
apatorsen-ogx-427,Hypomagnesemia,Metabolic,500,77,15.4,4,0.8
apatorsen-ogx-427,Hyponatremia,Metabolic,500,171,34.2,23,4.6
apatorsen-ogx-427,Hypophosphatemia,Metabolic,500,8,1.6,8,1.6
apatorsen-ogx-427,Hypoxia,Respiratory,500,1,0.2,1,0.2
apatorsen-ogx-427,Inflammatory response,Inflammatory,500,6,1.2,6,1.2
apatorsen-ogx-427,Injection site reaction,Procedure related,500,63,12.6,0,0.0
apatorsen-ogx-427,Insomnia,General,500,5,1.0,0,0.0
apatorsen-ogx-427,Leukopenia,Hematologic,500,5,1.0,0,0.0
apatorsen-ogx-427,Lower Respiratory Tract Infection or symptoms,Respiratory,500,74,14.8,5,1.0
apatorsen-ogx-427,Lymphopenia,Hematologic,500,151,30.2,44,8.8
apatorsen-ogx-427,Mortality,Mortality,500,2,0.4,2,0.4
apatorsen-ogx-427,Mucositis,Gastrointestinal,500,39,7.8,0,0.0
apatorsen-ogx-427,Multi-organ failure,General,500,1,0.2,1,0.2
apatorsen-ogx-427,Musculoskeletal disorser,Musculoskeletal,500,104,20.8,0,0.0
apatorsen-ogx-427,Nausea And Vomiting,Gastrointestinal,500,234,46.8,0,0.0
apatorsen-ogx-427,Neuropathy,Neurologic,500,58,11.6,0,0.0
apatorsen-ogx-427,Neutropenia,Hematologic,500,237,47.4,102,20.4
apatorsen-ogx-427,Neutropenic Fever,Hematologic,500,10,2.0,10,2.0
apatorsen-ogx-427,Paresthesia,Neurologic,500,8,1.6,0,0.0
apatorsen-ogx-427,Pneumonia,Respiratory,500,3,0.6,0,0.0
apatorsen-ogx-427,Proteinuria,Renal,500,80,16.0,0,0.0
apatorsen-ogx-427,Pulmonary Embolism,Cardiovascular,500,12,2.4,12,2.4
apatorsen-ogx-427,Rash,Mucocutaneous,500,28,5.6,0,0.0
apatorsen-ogx-427,Renal Injury,Renal,500,167,33.4,6,1.2
apatorsen-ogx-427,Sepsis,Infection,500,14,2.8,14,2.8
apatorsen-ogx-427,Stomatitis,Gastrointestinal,500,17,3.4,0,0.0
apatorsen-ogx-427,Tachycardia,Cardiovascular,500,5,1.0,0,0.0
apatorsen-ogx-427,Thrombocytopenia,Hematologic,500,237,47.4,59,11.8
apatorsen-ogx-427,Thrombosis,Cardiovascular,500,14,2.8,0,0.0
apatorsen-ogx-427,Transaminase Increase,Gastrointestinal,500,92,18.4,0,0.0
apatorsen-ogx-427,Upper Respiratory Tract Infection or symptoms,Respiratory,500,24,4.8,0,0.0
apatorsen-ogx-427,Ureteric obstruction,Genitourinary,500,1,0.2,1,0.2
apatorsen-ogx-427,Urinary Tract Infection,Genitourinary,500,67,13.4,1,0.2
apatorsen-ogx-427,Urosepsis,Genitourinary,500,3,0.6,0,0.0
apatorsen-ogx-427,Vascular purpura,Inflammatory,500,1,0.2,1,0.2
aprinocarsen,Alopecia,Mucocutaneous,596,0,0.0,0,0.0
aprinocarsen,Anemia,Hematologic,596,115,19.2953,83,13.9262
aprinocarsen,Angina Pectoris,Cardiovascular,596,5,0.8389,5,0.8389
aprinocarsen,Anorexia,General,596,17,2.8523,11,1.8456
aprinocarsen,C3/4 Increased,Inflammatory,596,3,0.5034,0,0.0
aprinocarsen,Chills,General,596,11,1.8456,0,0.0
aprinocarsen,Coagulation abnormalities,Hematologic,596,14,2.349,14,2.349
aprinocarsen,Dehydration,Other,596,5,0.8389,5,0.8389
aprinocarsen,Diarrhoea,Gastrointestinal,596,12,2.0134,0,0.0
aprinocarsen,Endocarditis,Cardiovascular,596,1,0.1678,1,0.1678
aprinocarsen,Epistaxis,Hematologic,596,25,4.1946,25,4.1946
aprinocarsen,Fatigue,General,596,75,12.5839,5,0.8389
aprinocarsen,Fever,General,596,32,5.3691,0,0.0
aprinocarsen,GI Bleeding,Gastrointestinal,596,4,0.6711,4,0.6711
aprinocarsen,GI symptoms,Gastrointestinal,596,4,0.6711,0,0.0
aprinocarsen,Headache,Neurologic,596,14,2.349,0,0.0
aprinocarsen,Hematuria,Genitourinary,596,1,0.1678,0,0.0
aprinocarsen,Hemothorax,Respiratory,596,1,0.1678,1,0.1678
aprinocarsen,Hyperbilirubinemia,Gastrointestinal,596,2,0.3356,0,0.0
aprinocarsen,Hyperhidrosis,General,596,2,0.3356,0,0.0
aprinocarsen,Hypertension,Cardiovascular,596,11,1.8456,11,1.8456
aprinocarsen,Hypokalemia,Metabolic,596,15,2.5168,15,2.5168
aprinocarsen,Hyponatremia,Metabolic,596,2,0.3356,2,0.3356
aprinocarsen,Hypotension,Cardiovascular,596,0,0.0,0,0.0
aprinocarsen,Injection site reaction,Procedure related,596,9,1.5101,1,0.1678
aprinocarsen,Leukopenia,Hematologic,596,124,20.8054,117,19.6309
aprinocarsen,Lower Respiratory Tract Infection or symptoms,Respiratory,596,7,1.1745,7,1.1745
aprinocarsen,Lymphopenia,Hematologic,596,12,2.0134,12,2.0134
aprinocarsen,Mortality,Mortality,596,3,0.5034,3,0.5034
aprinocarsen,Mucositis,Gastrointestinal,596,1,0.1678,1,0.1678
aprinocarsen,Musculoskeletal disorser,Musculoskeletal,596,17,2.8523,5,0.8389
aprinocarsen,Nausea And Vomiting,Gastrointestinal,596,102,17.1141,0,0.0
aprinocarsen,Neutropenia,Hematologic,596,40,6.7114,35,5.8725
aprinocarsen,Neutropenic Fever,Hematologic,596,18,3.0201,18,3.0201
aprinocarsen,Pain,General,596,9,1.5101,0,0.0
aprinocarsen,Pancreatitis,Gastrointestinal,596,1,0.1678,1,0.1678
aprinocarsen,Pleural Effusion,Respiratory,596,2,0.3356,2,0.3356
aprinocarsen,Proteinuria,Renal,596,1,0.1678,0,0.0
aprinocarsen,Pulmonary Embolism,Cardiovascular,596,2,0.3356,2,0.3356
aprinocarsen,Rash,Mucocutaneous,596,6,1.0067,1,0.1678
aprinocarsen,Renal Injury,Renal,596,4,0.6711,0,0.0
aprinocarsen,Sepsis,Infection,596,1,0.1678,1,0.1678
aprinocarsen,Thrombocytopenia,Hematologic,596,310,52.0134,265,44.4631
aprinocarsen,Transaminase Increase,Gastrointestinal,596,17,2.8523,7,1.1745
aprinocarsen,Urinary Tract Infection,Genitourinary,596,2,0.3356,2,0.3356
atipeksen,No AE,No AE,1,0,0.0,0,0.0
atl1103-atesidorsen,Carpal tunnel syndrome,Musculoskeletal,26,4,15.3846,0,0.0
atl1103-atesidorsen,Cholecystitis,Gastrointestinal,26,1,3.8462,1,3.8462
atl1103-atesidorsen,Diarrhoea,Gastrointestinal,26,4,15.3846,0,0.0
atl1103-atesidorsen,Dizziness,Neurologic,26,3,11.5385,0,0.0
atl1103-atesidorsen,Fatigue,General,26,4,15.3846,0,0.0
atl1103-atesidorsen,GI symptoms,Gastrointestinal,26,4,15.3846,0,0.0
atl1103-atesidorsen,Headache,Neurologic,26,8,30.7692,0,0.0
atl1103-atesidorsen,Hematuria,Genitourinary,26,4,15.3846,0,0.0
atl1103-atesidorsen,Hyperhidrosis,General,26,3,11.5385,0,0.0
atl1103-atesidorsen,Injection site reaction,Procedure related,26,22,84.6154,0,0.0
atl1103-atesidorsen,Lipohypertrophy,General,26,4,15.3846,0,0.0
atl1103-atesidorsen,Rash,Mucocutaneous,26,3,11.5385,0,0.0
atl1103-atesidorsen,Thrombocytopenia,Hematologic,26,1,3.8462,0,0.0
atl1103-atesidorsen,Tracheitis,Respiratory,26,4,15.3846,0,0.0
atl1103-atesidorsen,Transaminase Increase,Gastrointestinal,26,2,7.6923,0,0.0
atl1103-atesidorsen,Upper Respiratory Tract Infection or symptoms,Respiratory,26,4,15.3846,0,0.0
atl1103-atesidorsen,Urinary Tract Infection,Genitourinary,26,4,15.3846,0,0.0
avi-7288,Dizziness,Neurologic,40,0,0.0,0,0.0
avi-7288,Dysgeusia,Other,40,0,0.0,0,0.0
avi-7288,Edema,General,40,0,0.0,0,0.0
avi-7288,Fatigue,General,40,0,0.0,0,0.0
avi-7288,Headache,Neurologic,40,11,27.5,0,0.0
avi-7288,Injection site reaction,Procedure related,40,0,0.0,0,0.0
avi-7288,Nausea And Vomiting,Gastrointestinal,40,0,0.0,0,0.0
avi-7288,Rash,Mucocutaneous,40,0,0.0,0,0.0
avicursen-atl-1102-isis107248,Fever,General,86,19,22.093,0,0.0
avicursen-atl-1102-isis107248,GI symptoms,Gastrointestinal,86,19,22.093,0,0.0
avicursen-atl-1102-isis107248,Headache,Neurologic,86,19,22.093,0,0.0
avicursen-atl-1102-isis107248,Injection site reaction,Procedure related,86,54,62.7907,0,0.0
avicursen-atl-1102-isis107248,Lower Respiratory Tract Infection or symptoms,Respiratory,86,19,22.093,0,0.0
avicursen-atl-1102-isis107248,Nausea And Vomiting,Gastrointestinal,86,19,22.093,0,0.0
avicursen-atl-1102-isis107248,Pre Existing Condition Exacerbation,Other,86,14,16.2791,14,16.2791
avicursen-atl-1102-isis107248,Thrombocytopenia,Hematologic,86,19,22.093,0,0.0
avicursen-atl-1102-isis107248,Transaminase Increase,Gastrointestinal,86,16,18.6047,0,0.0
avicursen-atl-1102-isis107248,Upper Respiratory Tract Infection or symptoms,Respiratory,86,19,22.093,0,0.0
azd8233-ion449,Transaminase Increase,Gastrointestinal,530,0,0.0,0,0.0
baliforsen-isis-598769,Appendicitis,Gastrointestinal,48,1,2.0833,1,2.0833
baliforsen-isis-598769,Fall,Neurologic,48,6,12.5,0,0.0
baliforsen-isis-598769,Headache,Neurologic,48,12,25.0,0,0.0
baliforsen-isis-598769,Ileus,Gastrointestinal,48,1,2.0833,1,2.0833
baliforsen-isis-598769,Injection site reaction,Procedure related,48,8,16.6667,0,0.0
baliforsen-isis-598769,Lower Respiratory Tract Infection or symptoms,Respiratory,48,1,2.0833,1,2.0833
baliforsen-isis-598769,Musculoskeletal disorser,Musculoskeletal,48,6,12.5,0,0.0
baliforsen-isis-598769,Nausea And Vomiting,Gastrointestinal,48,5,10.4167,0,0.0
baliforsen-isis-598769,Thrombocytopenia,Hematologic,48,1,2.0833,1,2.0833
baliforsen-isis-598769,Upper Respiratory Tract Infection or symptoms,Respiratory,48,5,10.4167,0,0.0
bepirovirsen,Anemia,Hematologic,516,5,0.969,0,0.0
bepirovirsen,Angina Pectoris,Cardiovascular,516,3,0.5814,0,0.0
bepirovirsen,Atrial fibrilation/flutter,Cardiovascular,516,1,0.1938,0,0.0
bepirovirsen,C3/4 decreased,Inflammatory,516,292,56.5891,292,56.5891
bepirovirsen,CPK increase,Metabolic,516,178,34.4961,0,0.0
bepirovirsen,CRP increase,Inflammatory,516,15,2.907,0,0.0
bepirovirsen,Fatigue,General,516,2,0.3876,0,0.0
bepirovirsen,Fever,General,516,49,9.4961,0,0.0
bepirovirsen,GI symptoms,Gastrointestinal,516,10,1.938,0,0.0
bepirovirsen,Headache,Neurologic,516,73,14.1473,0,0.0
bepirovirsen,Injection site reaction,Procedure related,516,256,49.6124,0,0.0
bepirovirsen,Musculoskeletal disorser,Musculoskeletal,516,73,14.1473,0,0.0
bepirovirsen,Nausea And Vomiting,Gastrointestinal,516,0,0.0,0,0.0
bepirovirsen,Oral herpes,Mucocutaneous,516,1,0.1938,0,0.0
bepirovirsen,Rash,Mucocutaneous,516,5,0.969,0,0.0
bepirovirsen,Renal Injury,Renal,516,59,11.4341,0,0.0
bepirovirsen,Thrombocytopenia,Hematologic,516,137,26.5504,0,0.0
bepirovirsen,Transaminase Increase,Gastrointestinal,516,96,18.6047,96,18.6047
bepirovirsen,Upper Respiratory Tract Infection or symptoms,Respiratory,516,7,1.3566,0,0.0
biib080-maptrx-isis-814907-diranersen,CSF Pleocytosis,Neurologic,46,1,2.1739,1,2.1739
biib080-maptrx-isis-814907-diranersen,Delirium,Psychiatric,46,1,2.1739,1,2.1739
biib080-maptrx-isis-814907-diranersen,Diarrhoea,Gastrointestinal,46,3,6.5217,0,0.0
biib080-maptrx-isis-814907-diranersen,Dizziness,Neurologic,46,4,8.6957,0,0.0
biib080-maptrx-isis-814907-diranersen,Fatigue,General,46,4,8.6957,0,0.0
biib080-maptrx-isis-814907-diranersen,Injection site reaction,Procedure related,46,6,13.0435,0,0.0
biib080-maptrx-isis-814907-diranersen,Musculoskeletal disorser,Musculoskeletal,46,4,8.6957,0,0.0
biib080-maptrx-isis-814907-diranersen,Nausea And Vomiting,Gastrointestinal,46,6,13.0435,0,0.0
biib080-maptrx-isis-814907-diranersen,Neurologic disorder,Neurologic,46,1,2.1739,0,0.0
biib080-maptrx-isis-814907-diranersen,Post Lumbar Puncture Syndrome,Procedure related,46,17,36.9565,0,0.0
biib132,Fall,Neurologic,8,4,50.0,0,0.0
biib132,Headache,Neurologic,8,4,50.0,0,0.0
biib132,Muscular Weakness,Musculoskeletal,8,8,100.0,0,0.0
casimersen-amondys45,Adrenocortical Insufficiency,Metabolic,858,1,0.1166,1,0.1166
casimersen-amondys45,Agitation,Psychiatric,858,2,0.2331,0,0.0
casimersen-amondys45,Anaphylaxis,Inflammatory,858,1,0.1166,1,0.1166
casimersen-amondys45,Anemia,Hematologic,858,2,0.2331,0,0.0
casimersen-amondys45,Angina Pectoris,Cardiovascular,858,4,0.4662,0,0.0
casimersen-amondys45,Anorexia,General,858,10,1.1655,0,0.0
casimersen-amondys45,Aphasia,Neurologic,858,1,0.1166,1,0.1166
casimersen-amondys45,Bronchospasm,Respiratory,858,1,0.1166,1,0.1166
casimersen-amondys45,CPK increase,Metabolic,858,1,0.1166,1,0.1166
casimersen-amondys45,Cardiac Arrest,Cardiovascular,858,2,0.2331,2,0.2331
casimersen-amondys45,Cardiomyopathy,Cardiovascular,858,2,0.2331,2,0.2331
casimersen-amondys45,Cellulitis,Infection,858,1,0.1166,0,0.0
casimersen-amondys45,Cholecystitis,Gastrointestinal,858,1,0.1166,0,0.0
casimersen-amondys45,Diarrhoea,Gastrointestinal,858,6,0.6993,0,0.0
casimersen-amondys45,Dizziness,Neurologic,858,13,1.5152,0,0.0
casimersen-amondys45,Ear Infection,Infection,858,4,0.4662,0,0.0
casimersen-amondys45,Edema,General,858,10,1.1655,0,0.0
casimersen-amondys45,Fall,Neurologic,858,13,1.5152,13,1.5152
casimersen-amondys45,Fatigue,General,858,47,5.4779,0,0.0
casimersen-amondys45,Fever,General,858,73,8.5082,0,0.0
casimersen-amondys45,Fracture,Musculoskeletal,858,3,0.3497,3,0.3497
casimersen-amondys45,GI Bleeding,Gastrointestinal,858,1,0.1166,0,0.0
casimersen-amondys45,GI symptoms,Gastrointestinal,858,18,2.0979,0,0.0
casimersen-amondys45,Gait Disturbance,Neurologic,858,1,0.1166,0,0.0
casimersen-amondys45,Gastroesophageal Reflux Disease,Gastrointestinal,858,3,0.3497,0,0.0
casimersen-amondys45,Haematemesis,Gastrointestinal,858,1,0.1166,0,0.0
casimersen-amondys45,Headache,Neurologic,858,16,1.8648,0,0.0
casimersen-amondys45,Heart Failure,Cardiovascular,858,3,0.3497,3,0.3497
casimersen-amondys45,Hematuria,Genitourinary,858,5,0.5828,0,0.0
casimersen-amondys45,Hyperkalemia,Metabolic,858,3,0.3497,0,0.0
casimersen-amondys45,Hypotension,Cardiovascular,858,20,2.331,5,0.5828
casimersen-amondys45,Infection,Infection,858,70,8.1585,0,0.0
casimersen-amondys45,Injection site reaction,Procedure related,858,166,19.3473,0,0.0
casimersen-amondys45,Insomnia,General,858,5,0.5828,0,0.0
casimersen-amondys45,Leukocytosis,Hematologic,858,1,0.1166,0,0.0
casimersen-amondys45,Lower Respiratory Tract Infection or symptoms,Respiratory,858,12,1.3986,12,1.3986
casimersen-amondys45,Mortality,Mortality,858,3,0.3497,3,0.3497
casimersen-amondys45,Mucositis,Gastrointestinal,858,1,0.1166,0,0.0
casimersen-amondys45,Musculoskeletal disorser,Musculoskeletal,858,19,2.2145,0,0.0
casimersen-amondys45,Nausea And Vomiting,Gastrointestinal,858,4,0.4662,0,0.0
casimersen-amondys45,Nephrolithiasis,Genitourinary,858,5,0.5828,0,0.0
casimersen-amondys45,Neurologic disorder,Neurologic,858,1,0.1166,0,0.0
casimersen-amondys45,Pneumothorax,Respiratory,858,2,0.2331,2,0.2331
casimersen-amondys45,Proteinuria,Renal,858,7,0.8159,0,0.0
casimersen-amondys45,Psychiatric disorder,Psychiatric,858,1,0.1166,1,0.1166
casimersen-amondys45,Rash,Mucocutaneous,858,19,2.2145,0,0.0
casimersen-amondys45,Renal Injury,Renal,858,8,0.9324,8,0.9324
casimersen-amondys45,Respiratory Failure,Respiratory,858,8,0.9324,8,0.9324
casimersen-amondys45,Seizure,Neurologic,858,3,0.3497,3,0.3497
casimersen-amondys45,Sepsis,Infection,858,9,1.049,9,1.049
casimersen-amondys45,Staphylococcal/Streptococcal Infection,Infection,858,1,0.1166,0,0.0
casimersen-amondys45,Syncope,Neurologic,858,1,0.1166,0,0.0
casimersen-amondys45,Tachycardia,Cardiovascular,858,12,1.3986,0,0.0
casimersen-amondys45,Transaminase Increase,Gastrointestinal,858,4,0.4662,0,0.0
casimersen-amondys45,Upper Respiratory Tract Infection or symptoms,Respiratory,858,99,11.5385,0,0.0
casimersen-amondys45,Urinary Retention,Genitourinary,858,1,0.1166,0,0.0
casimersen-amondys45,myocarditis,Inflammatory,858,2,0.2331,2,0.2331
cdr132l,Diarrhoea,Gastrointestinal,28,22,78.5714,0,0.0
cdr132l,Dizziness,Neurologic,28,22,78.5714,0,0.0
ct102,Anaphylaxis,Inflammatory,17,1,5.8824,0,0.0
ct102,Arrhythmias,Cardiovascular,17,2,11.7647,0,0.0
ct102,Constipation,Gastrointestinal,17,2,11.7647,0,0.0
ct102,Dizziness,Neurologic,17,1,5.8824,0,0.0
ct102,Fever,General,17,7,41.1765,0,0.0
ct102,GI symptoms,Gastrointestinal,17,4,23.5294,0,0.0
ct102,Headache,Neurologic,17,1,5.8824,0,0.0
ct102,Hypertension,Cardiovascular,17,3,17.6471,0,0.0
ct102,Hypotension,Cardiovascular,17,1,5.8824,0,0.0
